,,,ISO-3 Code,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Other STDs,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,HIV/AIDS,,0.3,0.0,0.1,12.4,0.0,2.3,0.1,0.1,0.0,0.3,0.2,0.0,0.9,0.0,1.2,0.1,0.1,2.2,0.1,0.8,0.0,4.0,14.3,0.0,0.1,3.4,3.1,2.1,33.3,0.3,0.1,8.0,10.1,0.5,23.1,3.6,0.0,4.4,0.2,20.4,0.0,0.3,0.0,0.0,0.0,20.5,0.0,0.6,3.1,1.2,0.3,0.4,1.1,0.5,0.1,20.4,0.0,0.0,0.5,1.4,1.0,0.2,0.4,10.1,0.3,0.0,1.2,4.5,1.9,0.2,3.6,1.1,0.0,.,67.2,35.0,3.9,.,0.0,0.0,0.9,0.9,0.0,0.0,0.3,29.9,.,0.0,0.2,0.4,0.1,0.1,10.3,1.9,.,0.0,0.0,3.2,36.3,7.2,0.0,6.0,0.0,1.0,0.1,4.7,.,0.0,0.0,0.9,41.3,9.7,3.4,2.3,0.0,0.0,0.3,3.5,168.9,0.0,0.1,3.6,0.6,0.9,0.8,1.6,0.1,1.1,0.5,0.0,0.1,0.1,0.2,38.2,3.0,0.0,0.0,.,0.0,.,2.1,0.0,0.0,2.5,0.0,0.0,0.0,.,2.1,138.2,11.9,0.8,0.1,3.0,0.1,3.4,0.0,0.0,0.0,0.8,15.9,0.0,0.0,5.7,.,0.3,0.1,0.4,.,34.3,9.8,.,0.2,35.2,6.7,0.2,0.4,.,2.7,8.9,0.3,21.7,33.2,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Diarrhoeal diseases,,12.1,0.0,2.1,33.2,0.0,0.6,0.0,0.3,0.1,0.4,0.0,0.0,20.0,0.0,0.0,0.4,0.0,6.9,0.1,0.9,0.0,0.5,5.4,0.0,0.0,11.5,9.2,1.6,14.0,2.2,0.0,4.9,19.4,0.4,9.2,0.8,0.5,1.2,0.1,16.0,0.0,0.3,0.0,0.3,0.7,51.2,0.2,0.4,0.4,0.4,4.0,0.3,0.3,3.2,0.0,54.4,0.1,0.0,2.7,0.4,0.8,0.0,6.0,6.6,0.0,0.0,2.5,7.5,1.0,0.1,2.9,0.7,0.4,0.0,431.2,66.3,1.5,2.5,0.0,0.3,0.9,0.0,3.0,0.1,0.4,33.2,0.0,0.0,0.2,1.7,0.0,0.1,1.2,2.3,0.1,0.0,0.0,9.2,9.1,0.4,0.0,13.7,0.0,2.0,0.0,3.5,0.0,0.1,0.0,1.4,18.2,10.8,0.7,7.9,0.6,0.1,0.3,16.2,186.2,0.2,0.0,58.0,0.2,2.4,0.3,1.1,8.8,0.1,0.2,0.0,1.0,0.0,0.2,0.5,3.3,0.0,0.0,0.0,0.0,0.4,5.4,0.1,0.0,5.9,0.1,0.0,0.0,0.1,18.1,12.8,13.6,0.8,0.6,11.4,0.0,0.5,0.3,0.1,0.9,1.1,2.9,0.0,0.3,3.5,0.0,0.0,0.2,0.7,0.5,16.6,0.1,0.0,1.7,29.6,10.8,0.2,1.6,0.0,1.2,4.1,3.3,9.0,6.2,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,,4.4,0.0,0.3,3.5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.9,0.0,0.3,0.0,0.0,0.2,0.0,0.0,1.2,1.0,0.4,2.6,0.0,0.0,1.3,3.0,0.0,2.8,0.1,0.1,1.3,0.0,2.2,0.0,0.0,0.0,0.0,0.1,7.4,0.0,0.1,0.1,0.1,1.4,0.0,0.2,1.0,.,33.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.3,0.0,0.0,0.1,2.2,0.7,0.0,0.5,0.1,0.0,.,59.0,10.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.9,0.0,0.0,0.0,0.3,0.0,0.0,0.1,1.4,0.0,0.0,0.0,1.7,1.0,0.2,0.0,2.9,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.2,2.3,0.9,0.1,1.0,0.0,0.0,0.0,3.8,48.5,0.0,0.0,13.5,0.0,0.6,0.2,0.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,3.7,0.0,0.0,0.0,0.0,11.6,0.6,3.8,0.0,0.1,4.8,0.0,0.0,0.0,0.0,0.3,0.1,0.2,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.0,2.8,0.1,0.0,0.0,3.1,0.0,0.0,0.2,0.0,0.0,0.5,1.3,1.1,0.7,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Whooping cough,1.4,0.0,0.2,0.9,.,0.1,0.0,0.0,0.0,0.0,.,0.0,0.6,.,0.0,0.0,.,0.4,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.6,0.4,0.3,0.9,0.0,0.0,0.3,1.0,0.0,1.5,0.0,0.0,0.2,0.0,0.9,.,.,0.0,.,0.0,3.8,.,0.0,0.0,0.1,0.4,0.0,0.0,0.2,.,4.7,0.0,.,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.1,0.6,0.1,.,0.4,0.0,.,.,5.0,1.2,0.3,0.2,.,.,.,0.0,0.0,0.0,0.1,1.6,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.0,.,0.8,0.5,0.1,0.0,0.9,.,0.1,.,0.1,0.0,0.0,0.0,0.1,1.1,0.2,0.1,0.5,0.0,.,0.0,1.0,11.3,.,0.0,5.4,0.0,0.2,0.2,0.1,2.6,0.0,0.0,0.0,.,.,.,0.2,0.3,.,.,0.0,0.0,0.1,0.5,.,0.0,0.2,.,0.0,.,0.0,0.9,0.2,0.6,0.0,0.0,1.4,0.0,0.0,.,0.0,0.1,0.1,0.1,.,0.1,0.3,0.0,.,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.9,0.0,0.0,0.1,0.0,0.0,0.1,0.9,0.6,0.1,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Diphtheria,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Measles,2.0,0.0,0.1,0.4,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,.,.,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,1.3,.,0.0,0.7,0.4,.,0.6,.,0.0,1.1,.,0.6,.,.,.,.,0.0,1.5,.,0.1,0.0,.,0.4,0.0,0.1,0.7,.,25.1,0.0,.,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,.,1.2,0.6,.,0.0,0.0,.,.,42.0,5.5,0.0,0.0,.,.,0.0,.,0.0,0.0,0.0,1.0,0.0,0.0,.,0.0,.,0.0,0.0,1.1,0.0,.,.,0.7,0.3,0.0,0.0,1.5,.,0.0,.,.,0.0,0.1,0.0,0.0,0.5,0.3,0.0,0.1,.,.,0.0,2.3,26.7,.,0.0,0.7,.,0.3,0.0,0.0,0.3,0.0,.,0.0,0.0,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.1,.,0.0,3.4,.,.,.,0.0,8.6,0.4,1.1,.,0.0,2.8,0.0,0.0,.,.,0.1,0.0,0.0,.,0.0,0.2,0.0,.,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,.,0.0,0.0,.,0.1,0.2,0.1,0.5,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Tetanus,0.9,0.0,0.0,2.1,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.8,.,0.0,0.0,.,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.5,0.1,0.3,0.0,0.0,0.4,1.3,0.0,0.7,0.0,0.0,0.0,.,0.7,.,0.0,.,.,0.0,1.9,.,0.0,0.0,0.0,0.7,0.0,0.0,0.1,.,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,.,11.9,3.9,0.0,0.1,.,.,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.1,.,0.0,0.0,0.1,0.0,.,.,0.3,0.3,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.4,0.0,0.4,.,0.0,0.0,0.4,8.9,0.0,0.0,7.4,0.0,0.1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,.,0.0,0.0,0.2,.,.,0.0,0.0,0.0,0.1,0.0,0.0,0.2,.,.,0.0,0.0,2.1,0.0,1.9,0.0,0.0,0.5,0.0,0.0,.,0.0,0.0,0.0,0.2,.,0.0,0.1,0.0,.,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.3,0.2,0.3,0.1,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Meningitis,,3.6,0.0,0.6,7.7,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,1.8,0.0,0.1,0.0,0.0,2.7,0.0,0.4,0.0,0.1,1.8,0.0,0.0,4.8,2.5,0.6,5.3,0.1,0.0,1.7,7.5,0.1,6.2,0.4,0.1,0.4,0.0,8.9,0.0,0.1,0.0,0.0,0.3,18.6,0.0,0.1,0.1,0.1,0.6,0.1,0.1,0.7,0.0,17.8,0.0,0.0,0.2,0.1,0.4,0.0,0.2,6.1,0.1,0.0,0.3,3.6,0.4,0.0,1.0,0.1,0.0,0.0,40.3,5.4,0.8,0.6,0.0,0.0,0.2,0.0,0.3,0.0,0.2,5.8,0.0,0.0,0.1,0.3,0.0,0.0,0.2,0.9,0.1,0.0,0.0,2.4,2.1,0.4,0.0,5.5,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.5,4.5,2.2,0.1,1.1,0.1,0.0,0.1,6.8,58.2,0.0,0.0,12.6,0.0,0.4,0.1,0.4,1.8,0.2,0.0,0.0,0.1,0.0,0.1,1.4,1.6,0.0,.,0.0,0.0,0.2,2.1,0.0,0.0,3.2,0.0,0.0,0.0,0.0,4.4,2.3,3.5,0.1,0.5,2.5,0.0,0.1,0.0,0.0,0.2,0.4,2.2,0.0,0.1,1.5,0.0,0.0,0.1,0.5,0.1,6.8,0.4,0.1,0.2,7.4,0.6,0.0,0.2,0.0,0.3,0.7,0.8,2.6,1.7,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Encephalitis,,0.2,0.0,0.5,0.4,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2,0.4,0.1,0.0,0.1,0.4,0.0,3.6,0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.1,1.5,0.0,0.0,0.1,0.0,3.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.0,0.0,39.9,3.5,0.1,0.4,0.0,0.0,0.3,0.0,0.4,0.0,0.2,0.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.3,0.0,0.3,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.2,0.5,1.1,0.0,0.8,0.0,0.0,0.0,0.3,4.5,0.0,0.0,2.5,0.0,0.2,0.0,0.4,1.1,0.1,0.0,0.0,0.2,0.0,0.1,1.5,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.1,0.4,0.1,0.5,0.3,0.0,0.2,0.8,0.7,0.0,0.6,0.0,0.1,1.3,0.2,0.1,0.4,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,,0.5,0.0,0.4,0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,1.1,0.0,0.0,0.6,0.3,0.2,0.8,0.1,0.0,0.1,0.6,0.0,8.9,0.1,0.0,0.0,0.0,1.4,0.0,0.1,0.0,0.0,0.3,0.9,0.0,0.0,0.1,0.0,1.4,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.9,0.2,0.0,0.0,0.5,0.1,0.0,0.1,0.0,0.0,0.0,78.7,6.3,0.6,0.2,0.0,0.0,0.6,0.0,0.8,0.0,0.1,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.2,0.0,0.5,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.8,0.7,1.1,0.0,0.8,0.0,0.0,0.0,0.5,6.8,0.0,0.0,4.5,0.0,0.1,0.0,0.1,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.1,0.7,0.1,0.0,0.1,1.0,0.9,0.0,0.9,0.0,0.1,0.6,0.2,0.2,0.1,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis A,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis B,0.2,0.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.3,0.2,0.1,0.4,0.1,0.0,0.1,0.3,0.0,6.8,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.2,0.4,0.0,0.0,0.1,0.0,1.1,0.0,0.0,0.1,0.0,1.3,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.5,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,43.3,4.9,0.5,0.1,0.0,0.0,0.5,0.0,0.7,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,0.4,0.8,0.0,0.5,0.0,0.0,0.0,0.2,3.3,0.0,0.0,2.2,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.4,0.1,0.0,0.0,0.7,0.8,0.0,0.3,0.0,0.0,0.5,0.2,0.1,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis E,0.1,.,0.1,0.2,.,.,0.0,.,.,0.0,.,0.0,0.9,.,.,.,.,0.1,0.0,.,.,0.0,.,.,.,0.2,0.1,0.0,0.3,.,0.0,0.0,0.2,.,1.4,.,0.0,0.0,.,0.5,.,.,.,.,0.1,0.3,.,0.0,.,.,0.2,.,0.0,0.0,.,0.6,0.0,.,.,0.0,0.0,0.0,.,0.2,.,.,.,0.2,0.0,.,.,.,.,.,29.2,1.0,0.1,0.0,.,.,.,.,.,0.0,0.0,0.2,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,0.1,0.1,0.0,0.0,0.2,.,0.0,0.0,.,0.0,0.0,.,0.1,0.2,0.2,0.0,0.2,.,.,.,0.2,2.5,.,0.0,1.3,.,0.0,.,.,0.2,.,.,0.0,.,.,.,.,0.0,.,.,0.0,0.0,0.0,0.1,.,0.0,0.2,.,.,.,0.0,0.1,0.0,0.1,.,0.0,0.1,.,0.0,.,.,0.1,0.0,0.1,.,0.0,0.1,0.0,.,0.0,0.1,0.0,0.2,.,0.0,.,0.2,.,.,0.1,0.0,.,0.1,0.0,0.1,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,,0.9,0.0,0.2,16.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,6.6,0.0,0.5,0.0,0.0,7.1,0.0,0.0,16.0,6.3,0.5,10.6,0.0,0.0,4.3,9.3,0.1,17.5,0.5,0.0,1.9,0.0,16.9,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.1,0.1,0.1,0.6,0.0,0.4,0.4,0.0,12.9,0.0,0.0,0.0,0.5,0.7,0.0,0.0,14.6,0.0,0.0,0.1,13.3,0.8,0.0,0.4,0.1,0.0,0.0,66.4,11.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.6,0.0,0.0,0.0,8.2,8.0,0.2,0.0,21.6,0.0,1.4,0.0,0.3,0.0,0.0,0.0,0.2,18.0,1.8,0.1,0.9,0.0,0.0,0.0,12.0,129.6,0.0,0.0,3.1,0.0,1.4,0.1,0.3,3.4,0.0,0.0,0.0,0.0,0.0,0.1,0.2,3.3,0.0,0.0,0.0,0.1,0.1,4.9,0.0,0.0,8.1,0.0,0.0,0.0,0.1,3.0,1.0,6.0,0.0,0.3,9.3,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,4.6,0.0,0.0,0.0,0.3,0.0,15.0,0.1,0.0,0.0,19.2,0.1,0.0,0.1,0.0,1.2,1.0,1.1,7.9,2.9,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Malaria,0.2,.,0.0,14.4,.,.,.,0.0,.,.,.,.,0.0,.,.,.,.,6.0,.,0.0,.,0.0,0.1,.,.,14.6,5.2,0.1,9.2,.,.,3.6,7.5,.,0.0,0.0,0.0,1.7,.,14.1,.,.,.,.,.,43.3,.,0.0,0.0,.,.,.,0.3,0.1,.,4.9,.,.,.,0.4,0.6,.,.,13.4,.,.,0.0,11.9,0.7,0.0,0.2,0.0,.,.,23.7,1.9,0.0,0.0,.,.,.,.,.,.,.,11.9,.,.,.,0.1,.,.,.,2.3,.,.,.,7.4,7.5,0.0,.,20.6,.,1.2,.,0.0,.,.,.,.,16.7,0.5,0.1,0.0,.,.,0.0,10.6,112.4,.,.,0.7,.,1.3,.,0.0,0.1,.,.,.,.,.,.,.,2.9,.,.,.,0.1,.,4.4,.,.,7.1,.,.,.,0.1,2.2,0.2,2.9,0.0,.,3.5,.,0.0,.,.,.,.,0.0,.,0.0,4.2,.,.,.,.,.,12.5,.,.,.,17.0,0.0,.,.,0.0,0.2,0.0,0.8,7.2,2.5,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,African Trypanosomiasis,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0,.,.,0.4,0.3,.,.,.,.,0.0,.,0.1,.,.,.,.,.,3.5,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,0.0,.,.,.,.,.,.,.,0.0,0.0,,,
